gid,token_total,simscore_percentage,adj_token,_simscore_pct,std,cv,mean
FOMC201809,16000,100.0,9598,100.0,0.03904020915715593,0.0540671473523172,0.7220689655172413
FOMC202207,10000,26.0,9812,26.0,0.04891180360628408,0.2043864992193427,0.2393103448275862
FOMC202312,18000,90.5,17957,90.5,0.05777909349687133,1.109664709542562,0.052068965517241377
FOMC201912,13000,33.0,12877,33.0,0.03850020791959723,0.1395632537085399,0.2758620689655174
FOMC201909,17000,26.5,16925,26.5,0.04503966505838413,0.264939206225789,0.17
FOMC202401,11000,35.5,10990,35.5,0.0876387007658214,0.3457853499603838,0.253448275862069
FOMC202212,19000,90.0,18923,90.0,0.07440734642473446,0.4206263248181871,0.17689655172413787
FOMC201808,14000,64.0,13976,64.0,0.03508961082966498,0.04728618559759687,0.7420689655172413
FOMC201803,18000,21.5,17765,21.5,0.07572962015920935,0.1554252643041098,0.4872413793103448
FOMC202107,13000,56.5,12968,56.5,0.05709295850917213,0.1467815422664887,0.38896551724137907
FOMC202407,15000,97.5,14894,97.5,0.05253663980659105,0.2457358958695388,0.21379310344827582
FOMC202101,11000,25.0,10870,25.0,0.03344357795457807,0.2150473970471761,0.15551724137931033
FOMC202012,15000,37.0,14835,37.0,0.06873415625766567,0.7144410507069191,0.09620689655172415
FOMC202501,11000,67.0,10973,67.0,0.05179059769738342,0.20378932608197,0.2541379310344828
FOMC202107,18000,80.0,17995,80.0,0.0655814449819911,0.1714547581228526,0.3824999999999999
FOMC201709,14000,14.5,13825,14.5,0.04255393563965201,0.1230373014506389,0.3458620689655173
FOMC201805,20000,100.0,11958,100.0,0.08472354346776338,0.1767613496809452,0.47931034482758617
FOMC202305,14000,46.5,13899,46.5,0.08287179248784103,8.010939940491301,0.010344827586206895
FOMC202405,17000,60.0,16957,60.0,0.06231969064721464,0.4845230640131968,0.12862068965517245
FOMC201905,12000,27.0,11887,27.0,0.04789150299492907,0.2110719736858576,0.22689655172413795
FOMC202001,19000,100.0,14288,100.0,0.04616312903994507,0.2209126637225094,0.20896551724137932
FOMC202306,13000,41.5,12993,41.5,0.04773438413315321,0.9546876826630641,0.05
FOMC202207,16000,46.5,15733,46.5,0.07296669055832587,0.2723338515046911,0.2679310344827587
FOMC201903,10000,27.0,9915,27.0,0.04212051674700207,0.305373746415765,0.13793103448275862
FOMC201706,17000,18.0,16978,18.0,0.06062685678432288,0.1576842015018263,0.3844827586206897
FOMC202112,12000,73.0,11875,73.0,0.05863177235137992,0.228537822337368,0.256551724137931
FOMC202503,19000,100.0,18245,100.0,0.0841810738941387,0.3199542782346033,0.26310344827586196
FOMC202007,15000,69.5,14977,69.5,0.03851939566458087,0.1664772688931215,0.23137931034482756
FOMC202009,15000,48.0,14858,48.0,0.07321101158124214,0.5997512248180854,0.12206896551724138
FOMC202503,11000,56.5,10874,56.5,0.0835805855789147,0.3343223423156588,0.25
FOMC202112,18000,100.0,15745,100.0,0.06863015752690277,0.2506643033098463,0.27379310344827595
FOMC201706,13000,13.0,12946,13.0,0.06045802191432585,0.1596796571507695,0.37862068965517254
FOMC201903,20000,57.5,19933,57.5,0.05004431533687864,0.3225078099487734,0.15517241379310348
FOMC202207,14000,40.5,13832,40.5,0.0624282839776498,0.2658473179664969,0.2348275862068966
FOMC202306,17000,56.5,16938,56.5,0.03845219666769935,0.9613049166924835,0.04000000000000001
FOMC202001,11000,74.0,10905,74.0,0.04957454455645858,0.2500281377630084,0.19827586206896558
FOMC201905,18000,42.0,17878,42.0,0.05191884534986359,0.2182096398762383,0.2379310344827586
FOMC202405,13000,44.0,12856,44.0,0.03845860163095984,0.3159488519257324,0.12172413793103448
FOMC202305,16000,53.5,15992,53.5,0.06768697875955211,4.176430604312789,0.01620689655172414
FOMC201805,10000,81.0,9952,81.0,0.08064854116546825,0.1699714893748967,0.47448275862068984
FOMC201709,17000,17.5,16908,17.5,0.06388490266234535,0.1814556490899133,0.3520689655172415
FOMC202107,12000,50.5,11880,50.5,0.06068979511851309,0.1546576501262635,0.3924137931034485
FOMC202412,19000,50.0,18920,50.0,0.05555363981371268,0.1726747646942838,0.32172413793103444
FOMC202012,14000,34.0,13910,34.0,0.06279217421667403,0.7849021777084253,0.08000000000000002
FOMC202101,19000,45.5,18993,45.5,0.05827148961939327,0.4224682997406012,0.13793103448275862
FOMC202407,15000,97.5,14894,97.5,0.05253663980659105,0.2457358958695388,0.21379310344827582
FOMC202106,17000,67.0,16840,67.0,0.07502052264370059,0.1832851859028911,0.4093103448275861
FOMC201801,12000,15.0,11771,15.0,0.03432315279419988,0.05633115059602696,0.6093103448275863
FOMC201806,16000,60.0,15964,60.0,0.03808533327722678,0.05505855757924109,0.6917241379310348
FOMC202212,10000,44.5,9889,44.5,0.06315396777178926,0.3670270672107993,0.17206896551724138
FOMC202401,19000,64.0,18952,64.0,0.06061669932001579,0.267970164676899,0.22620689655172418
FOMC201909,13000,20.0,12964,20.0,0.05839393989746512,0.3393635785624226,0.17206896551724135
FOMC201912,17000,44.0,16962,44.0,0.04888661859683601,0.1848385840036824,0.2644827586206897
FOMC202312,12000,58.5,11935,58.5,0.02278081467466383,0.3649964782128459,0.06241379310344827
FOMC202209,20000,100.0,19669,100.0,0.09093249810613727,0.4038349839323094,0.2251724137931035
FOMC201809,14000,100.0,9598,100.0,0.03904020915715593,0.0540671473523172,0.7220689655172413
FOMC201705,18000,15.0,17876,15.0,0.07485124821675261,0.221498591661819,0.3379310344827585
FOMC202205,13000,21.5,12833,21.5,0.05464619745738696,0.360168119605505,0.15172413793103448
FOMC202506,16000,94.0,15944,94.0,0.06800101419121984,0.2983403043185137,0.2279310344827586
FOMC202004,11000,19.5,10898,19.5,0.09035371106627708,0.1769248900014879,0.5106896551724137
FOMC202006,18000,23.0,17789,23.0,0.07519105386467721,0.1686419614907687,0.44586206896551717
FOMC202507,13000,79.5,12921,79.5,0.03514221634242964,0.5226278327848509,0.06724137931034484
FOMC202201,15000,77.5,14972,77.5,0.05526915779126425,0.2730503536536054,0.2024137931034482
FOMC201703,11000,15.0,10851,15.0,0.07098705911344937,0.1614607619051005,0.43965517241379315
FOMC201812,17000,40.5,16924,40.5,0.03490663126690888,0.05972225998468186,0.5844827586206897
FOMC202211,12000,50.5,11923,50.5,0.092558063257026,0.4247126320338218,0.2179310344827586
FOMC202311,19000,100.0,18450,100.0,0.05537823370669118,0.683390969146402,0.08103448275862067
FOMC201910,14000,17.5,13854,17.5,0.0464132221690999,0.2804132172716452,0.16551724137931034
FOMC201907,16000,22.5,15778,22.5,0.07259951552987398,0.3194819348052118,0.2272413793103448
FOMC202312,10000,48.0,9983,48.0,0.05703036957785905,0.9343958857389335,0.061034482758620695
FOMC202302,18000,100.0,15926,100.0,0.0732765864930867,0.7227962613263655,0.10137931034482757
FOMC201808,13000,59.0,12939,59.0,0.04445898092873559,0.06019189761593522,0.7386206896551722
FOMC201712,19000,25.5,18982,25.5,0.06595826415876511,0.1288941819814143,0.5117241379310344
FOMC202104,15000,52.0,14966,52.0,0.04909275427359405,0.1670997504617638,0.2937931034482758
